"codigo_vn","hora","numero de factura","dinero_generado","codigo_ep","codigo_cl","codigo_mc","precio","date","origen"
"VNjun19   ","15:00                                             ","2019_6_508                                        ",15,"p04       ","cl03      ","mc04      ",20,"2019-06-03","farmacia_amarilla                                 "
"VNjun19   ","15:00                                             ","2019_6_508                                        ",15,"p04       ","cl03      ","mc09      ",125,"2019-06-03","farmacia_amarilla                                 "
"VNjun19   ","11:00                                             ","2019_6_509                                        ",15,"p04       ","cl04      ","mc05      ",10,"2019-06-03","farmacia_amarilla                                 "
"VNjun19   ","11:00                                             ","2019_6_509                                        ",15,"p04       ","cl04      ","mc03      ",150,"2019-06-03","farmacia_amarilla                                 "
"VNjun19   ","11:00                                             ","2019_6_509                                        ",15,"p04       ","cl04      ","mc04      ",20,"2019-06-03","farmacia_amarilla                                 "
"VNjun19   ","5:00                                              ","2019_6_510                                        ",15,"p06       ","cl04      ","mc08      ",510,"2019-06-03","farmacia_amarilla                                 "
"VNjun19   ","20:00                                             ","2019_6_511                                        ",15,"p03       ","cl15      ","mc02      ",200,"2019-06-03","farmacia_amarilla                                 "
"VNjun19   ","20:00                                             ","2019_6_511                                        ",15,"p03       ","cl15      ","mc09      ",125,"2019-06-03","farmacia_amarilla                                 "
"VNjun19   ","2:00                                              ","2019_6_512                                        ",15,"p01       ","cl13      ","mc09      ",125,"2019-06-03","farmacia_amarilla                                 "
"VNjun19   ","2:00                                              ","2019_6_512                                        ",15,"p01       ","cl13      ","mc01      ",500,"2019-06-03","farmacia_amarilla                                 "
"VNjun19   ","2:00                                              ","2019_6_512                                        ",15,"p01       ","cl13      ","mc03      ",150,"2019-06-03","farmacia_amarilla                                 "
"VNjun19   ","23:00                                             ","2019_6_513                                        ",15,"p04       ","cl08      ","mc08      ",510,"2019-06-03","farmacia_amarilla                                 "
"VNjun19   ","11:00                                             ","2019_6_514                                        ",15,"p01       ","cl14      ","mc09      ",125,"2019-06-03","farmacia_amarilla                                 "
"VNjun19   ","11:00                                             ","2019_6_514                                        ",15,"p01       ","cl14      ","mc03      ",150,"2019-06-03","farmacia_amarilla                                 "
"VNjun19   ","17:00                                             ","2019_6_515                                        ",15,"p06       ","cl15      ","mc01      ",500,"2019-06-03","farmacia_amarilla                                 "
"VNjun19   ","17:00                                             ","2019_6_515                                        ",15,"p06       ","cl15      ","mc03      ",150,"2019-06-03","farmacia_amarilla                                 "
"VNjun19   ","17:00                                             ","2019_6_515                                        ",15,"p06       ","cl15      ","mc10      ",205,"2019-06-03","farmacia_amarilla                                 "
"VNjun19   ","4:00                                              ","2019_6_516                                        ",15,"p01       ","cl10      ","mc04      ",20,"2019-06-03","farmacia_amarilla                                 "
"VNjun19   ","20:00                                             ","2019_6_517                                        ",15,"p04       ","cl15      ","mc10      ",205,"2019-06-03","farmacia_amarilla                                 "
"VNjun19   ","20:00                                             ","2019_6_517                                        ",15,"p04       ","cl15      ","mc01      ",500,"2019-06-03","farmacia_amarilla                                 "
"VNjun19   ","9:00                                              ","2019_6_518                                        ",15,"p05       ","cl11      ","mc03      ",150,"2019-06-03","farmacia_amarilla                                 "
"VNjun19   ","9:00                                              ","2019_6_518                                        ",15,"p05       ","cl11      ","mc08      ",510,"2019-06-03","farmacia_amarilla                                 "
"VNjun19   ","9:00                                              ","2019_6_518                                        ",15,"p05       ","cl11      ","mc01      ",500,"2019-06-03","farmacia_amarilla                                 "
"VNjun19   ","3:00                                              ","2019_6_519                                        ",15,"p01       ","cl10      ","mc04      ",20,"2019-06-03","farmacia_amarilla                                 "
"VNjun19   ","1:00                                              ","2019_6_520                                        ",15,"p06       ","cl12      ","mc11      ",400,"2019-06-03","farmacia_amarilla                                 "
"VNjun19   ","1:00                                              ","2019_6_520                                        ",15,"p06       ","cl12      ","mc01      ",500,"2019-06-03","farmacia_amarilla                                 "
"VNjun19   ","4:00                                              ","2019_6_521                                        ",15,"p01       ","cl04      ","mc07      ",290,"2019-06-03","farmacia_amarilla                                 "
"VNjun19   ","4:00                                              ","2019_6_521                                        ",15,"p01       ","cl04      ","mc02      ",200,"2019-06-03","farmacia_amarilla                                 "
"VNjun19   ","4:00                                              ","2019_6_521                                        ",15,"p01       ","cl04      ","mc06      ",250,"2019-06-03","farmacia_amarilla                                 "
"VNjun19   ","12:00                                             ","2019_6_522                                        ",15,"p06       ","cl02      ","mc03      ",150,"2019-06-03","farmacia_amarilla                                 "
"VNjun19   ","10:00                                             ","2019_6_523                                        ",15,"p06       ","cl09      ","mc07      ",290,"2019-06-03","farmacia_amarilla                                 "
"VNjun19   ","10:00                                             ","2019_6_523                                        ",15,"p06       ","cl09      ","mc10      ",205,"2019-06-03","farmacia_amarilla                                 "
"VNjun19   ","10:00                                             ","2019_6_524                                        ",15,"p02       ","cl10      ","mc06      ",250,"2019-06-03","farmacia_amarilla                                 "
"VNjun19   ","10:00                                             ","2019_6_524                                        ",15,"p02       ","cl10      ","mc12      ",500,"2019-06-03","farmacia_amarilla                                 "
"VNjun19   ","10:00                                             ","2019_6_524                                        ",15,"p02       ","cl10      ","mc01      ",500,"2019-06-03","farmacia_amarilla                                 "
